Date,Address,Rate,Amount,Category,Product Name
2025-01-03,"Chitwan, Bagmati",30,240,Household,Candles (pack)
2024-05-10,"Biratnagar, Koshi",100,300,Vegetables,Tomatoes (1kg)
2025-02-11,"Lalitpur, Bagmati",100,200,Vegetables,Tomatoes (1kg)
2024-09-30,"Itahari, Koshi",100,100,Condiments,Tomato Ketchup (bottle)
2024-03-26,"Dharan, Koshi",550,1100,Beverages,Tea Leaves (1kg)
2025-04-19,"Dharan, Koshi",50,50,Personal Care,"Soap (bath, bar)"
2025-04-19,"Nepalgunj, Lumbini",200,600,Dairy,"Local Cheese (Chhurpi, pack)"
2024-07-05,"Pokhara, Gandaki",120,360,Dairy,Milk (1L)
2024-11-21,"Hetauda, Bagmati",50,50,Personal Care,"Soap (bath, bar)"
2024-03-19,"Chitwan, Bagmati",120,240,Flours,"Suji (Semolina, 1kg)"
2025-06-05,"Dharan, Koshi",50,500,Snacks,Papad (pack)
2024-10-01,"Dharan, Koshi",100,300,Fruits,Bananas (dozen)
2024-02-14,"Butwal, Lumbini",80,720,Bakery,Bread (loaf)
2025-12-06,"Lalitpur, Bagmati",120,360,Flours,"Suji (Semolina, 1kg)"
2025-09-06,"Dharan, Koshi",50,100,Personal Care,"Soap (bath, bar)"
2024-05-23,"Janakpur, Madhesh",40,320,Snacks,Chips/Namkeen (pack)
2025-07-12,"Biratnagar, Koshi",150,150,Flours,"Besan (Gram Flour, 1kg)"
2025-08-26,"Janakpur, Madhesh",50,350,Spices,Coriander Powder (100g)
2024-08-20,"Chitwan, Bagmati",50,150,Personal Care,"Soap (bath, bar)"
2024-01-07,"Nepalgunj, Lumbini",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-02-15,"Janakpur, Madhesh",50,50,Personal Care,"Soap (bath, bar)"
2024-08-13,"Itahari, Koshi",240,480,Dairy,Eggs (dozen)
2025-05-29,"Chitwan, Bagmati",150,300,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-10-11,"Hetauda, Bagmati",200,600,Household,Washing Powder (1kg)
2024-08-06,"Chitwan, Bagmati",240,240,Dairy,Eggs (dozen)
2025-04-15,"Nepalgunj, Lumbini",100,300,Fruits,Bananas (dozen)
2025-05-19,"Dharan, Koshi",80,640,Personal Care,Toothpaste (100g)
2024-07-08,"Bhaktapur, Bagmati",240,240,Health Foods,Flax Seeds (1kg)
2024-03-29,"Itahari, Koshi",200,200,Dairy,"Local Cheese (Chhurpi, pack)"
2024-02-19,"Itahari, Koshi",2000,2000,Household,Cooking Gas (small cylinder)
2025-06-13,"Kathmandu, Bagmati",80,640,Bakery,Bread (loaf)
2024-05-17,"Dharan, Koshi",100,300,Fruits,Bananas (dozen)
2025-10-21,"Janakpur, Madhesh",50,100,Spices,Chili Powder (100g)
2024-06-05,"Biratnagar, Koshi",180,540,Grains & Pulses,Arhar Dal (1kg)
2024-02-28,"Lalitpur, Bagmati",50,400,Snacks,Papad (pack)
2024-04-24,"Butwal, Lumbini",50,250,Spices,Coriander Powder (100g)
2025-07-07,"Kathmandu, Bagmati",70,140,Personal Care,Mehendi (200g)
2025-04-03,"Lalitpur, Bagmati",240,240,Dairy,Eggs (dozen)
2025-03-31,"Itahari, Koshi",200,400,Household,Washing Powder (1kg)
2025-01-19,"Biratnagar, Koshi",50,150,Snacks,Titaura (pack)
2024-10-17,"Butwal, Lumbini",100,200,Fruits,Bananas (dozen)
2024-03-08,"Biratnagar, Koshi",50,350,Snacks,Biscuits (pack)
2025-07-19,"Hetauda, Bagmati",130,390,Grains & Pulses,"Rice (white, 1kg)"
2024-11-21,"Itahari, Koshi",200,400,Grains & Pulses,Moong Dal (1kg)
2025-08-31,"Hetauda, Bagmati",80,80,Bakery,Bread (loaf)
2024-06-15,"Kathmandu, Bagmati",150,450,Condiments,Ginger Garlic Paste (jar)
2025-08-26,"Janakpur, Madhesh",50,400,Snacks,Biscuits (pack)
2024-02-19,"Itahari, Koshi",105,315,Essentials,Sugar (1kg)
2025-11-01,"Dharan, Koshi",100,300,Condiments,Tomato Ketchup (bottle)
2024-03-30,"Janakpur, Madhesh",2000,4000,Household,Cooking Gas (small cylinder)
2025-08-02,"Nepalgunj, Lumbini",170,510,Essentials,Jaggery (1kg)
2024-01-30,"Dharan, Koshi",100,100,Vegetables,Onions (1kg)
2024-04-09,"Dharan, Koshi",100,100,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-10-07,"Biratnagar, Koshi",240,720,Dairy,Eggs (dozen)
2025-10-20,"Kathmandu, Bagmati",50,100,Snacks,Biscuits (pack)
2024-02-20,"Bhaktapur, Bagmati",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-12-18,"Hetauda, Bagmati",120,120,Dairy,Milk (1L)
2025-03-03,"Chitwan, Bagmati",240,480,Health Foods,Flax Seeds (1kg)
2024-04-05,"Biratnagar, Koshi",105,105,Essentials,Sugar (1kg)
2024-03-15,"Janakpur, Madhesh",40,40,Spices,Turmeric Powder (100g)
2025-09-11,"Butwal, Lumbini",100,300,Fruits,Bananas (dozen)
2025-04-11,"Chitwan, Bagmati",130,130,Grains & Pulses,"Rice (white, 1kg)"
2025-03-28,"Pokhara, Gandaki",2000,2000,Household,Cooking Gas (small cylinder)
2024-07-17,"Chitwan, Bagmati",100,100,Vegetables,Onions (1kg)
2024-05-26,"Bhaktapur, Bagmati",80,400,Vegetables,Potatoes (1kg)
2024-10-19,"Pokhara, Gandaki",150,300,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2024-11-07,"Lalitpur, Bagmati",2000,4000,Household,Cooking Gas (small cylinder)
2024-05-23,"Janakpur, Madhesh",80,320,Personal Care,Toothpaste (100g)
2025-07-02,"Dharan, Koshi",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-03-30,"Chitwan, Bagmati",170,340,Essentials,Jaggery (1kg)
2024-10-08,"Itahari, Koshi",180,360,Flours,Multi-grain Atta (1kg)
2024-01-11,"Nepalgunj, Lumbini",150,150,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-06-04,"Janakpur, Madhesh",130,260,Grains & Pulses,"Rice (white, 1kg)"
2025-01-27,"Lalitpur, Bagmati",90,720,Flours,"Wheat Flour (Atta, 1kg)"
2025-11-18,"Janakpur, Madhesh",200,200,Household,Washing Powder (1kg)
2024-07-22,"Lalitpur, Bagmati",50,400,Snacks,Papad (pack)
2025-06-20,"Lalitpur, Bagmati",80,560,Vegetables,Potatoes (1kg)
2025-10-21,"Janakpur, Madhesh",100,300,Condiments,Tomato Ketchup (bottle)
2024-03-20,"Lalitpur, Bagmati",170,510,Essentials,Jaggery (1kg)
2024-04-24,"Butwal, Lumbini",25,100,Essentials,Salt (1kg)
2024-05-24,"Janakpur, Madhesh",25,150,Essentials,Salt (1kg)
2024-02-09,"Chitwan, Bagmati",5,45,Household,Matches (box)
2024-03-16,"Bhaktapur, Bagmati",100,200,Vegetables,Tomatoes (1kg)
2024-07-24,"Chitwan, Bagmati",100,100,Vegetables,Onions (1kg)
2024-04-10,"Kathmandu, Bagmati",100,300,Snacks,Puffed Rice (1kg)
2024-08-18,"Biratnagar, Koshi",80,560,Bakery,Bread (loaf)
2024-03-19,"Lalitpur, Bagmati",180,540,Flours,Multi-grain Atta (1kg)
2024-05-05,"Hetauda, Bagmati",80,640,Vegetables,Potatoes (1kg)
2025-05-12,"Pokhara, Gandaki",90,180,Flours,"Wheat Flour (Atta, 1kg)"
2025-09-25,"Hetauda, Bagmati",5,25,Household,Matches (box)
2025-04-09,"Biratnagar, Koshi",50,200,Personal Care,"Soap (bath, bar)"
2025-03-24,"Pokhara, Gandaki",100,200,Vegetables,Onions (1kg)
2024-01-17,"Lalitpur, Bagmati",1150,3450,Dairy,Ghee (1L)
2024-11-20,"Lalitpur, Bagmati",240,240,Dairy,Eggs (dozen)
2024-04-05,"Biratnagar, Koshi",40,40,Snacks,Chips/Namkeen (pack)
2025-06-21,"Butwal, Lumbini",80,800,Personal Care,Toothpaste (100g)
2025-09-15,"Janakpur, Madhesh",100,300,Spices,Dry Chilies (100g)
2025-12-07,"Nepalgunj, Lumbini",180,540,Grains & Pulses,Arhar Dal (1kg)
2025-03-15,"Itahari, Koshi",550,550,Beverages,Tea Leaves (1kg)
2025-01-24,"Pokhara, Gandaki",1150,2300,Dairy,Ghee (1L)
2025-06-22,"Kathmandu, Bagmati",100,300,Condiments,Tomato Ketchup (bottle)
2025-04-30,"Kathmandu, Bagmati",90,270,Flours,"Wheat Flour (Atta, 1kg)"
2024-12-31,"Itahari, Koshi",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
2025-02-22,"Nepalgunj, Lumbini",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-07-05,"Pokhara, Gandaki",200,600,Dairy,"Local Cheese (Chhurpi, pack)"
2024-05-22,"Lalitpur, Bagmati",90,540,Flours,"Wheat Flour (Atta, 1kg)"
2024-12-14,"Bhaktapur, Bagmati",100,200,Fruits,Bananas (dozen)
2024-01-20,"Nepalgunj, Lumbini",150,150,Flours,"Besan (Gram Flour, 1kg)"
2025-06-22,"Bhaktapur, Bagmati",170,170,Essentials,Jaggery (1kg)
2025-05-23,"Butwal, Lumbini",1150,1150,Dairy,Ghee (1L)
2024-07-21,"Itahari, Koshi",30,90,Snacks,"Noodles (Maggi, pack)"
2024-09-08,"Hetauda, Bagmati",1150,2300,Dairy,Ghee (1L)
2025-11-13,"Nepalgunj, Lumbini",100,300,Vegetables,Onions (1kg)
2024-09-24,"Janakpur, Madhesh",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-08-14,"Biratnagar, Koshi",40,360,Snacks,Chips/Namkeen (pack)
2025-11-02,"Janakpur, Madhesh",200,200,Household,Washing Powder (1kg)
2025-10-16,"Kathmandu, Bagmati",40,400,Snacks,Chips/Namkeen (pack)
2025-10-30,"Itahari, Koshi",200,400,Dairy,"Local Cheese (Chhurpi, pack)"
2024-02-08,"Pokhara, Gandaki",100,300,Condiments,Tomato Ketchup (bottle)
2024-12-15,"Lalitpur, Bagmati",70,70,Personal Care,Mehendi (200g)
2024-01-30,"Chitwan, Bagmati",150,450,Condiments,Ginger Garlic Paste (jar)
2024-09-13,"Kathmandu, Bagmati",100,100,Spices,Dry Chilies (100g)
2024-11-22,"Kathmandu, Bagmati",25,125,Essentials,Salt (1kg)
2024-10-01,"Bhaktapur, Bagmati",130,390,Grains & Pulses,"Rice (white, 1kg)"
2024-05-01,"Hetauda, Bagmati",550,1650,Beverages,Tea Leaves (1kg)
2025-04-13,"Bhaktapur, Bagmati",500,1000,Vegetables,Bamboo Shoots (1kg)
2024-02-16,"Butwal, Lumbini",240,480,Health Foods,Flax Seeds (1kg)
2025-03-01,"Biratnagar, Koshi",100,300,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-01-21,"Bhaktapur, Bagmati",120,360,Flours,"Suji (Semolina, 1kg)"
2024-04-30,"Kathmandu, Bagmati",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-11-21,"Kathmandu, Bagmati",50,450,Spices,Coriander Powder (100g)
2025-08-16,"Bhaktapur, Bagmati",100,200,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-03-25,"Hetauda, Bagmati",170,340,Essentials,Jaggery (1kg)
2024-04-29,"Bhaktapur, Bagmati",40,200,Spices,Turmeric Powder (100g)
2025-03-30,"Janakpur, Madhesh",90,900,Flours,"Wheat Flour (Atta, 1kg)"
2024-11-12,"Pokhara, Gandaki",40,240,Spices,Turmeric Powder (100g)
2025-10-12,"Chitwan, Bagmati",25,50,Essentials,Salt (1kg)
2025-01-31,"Dharan, Koshi",150,300,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-05-24,"Biratnagar, Koshi",300,900,Beverages,Horlicks (jar)
2025-06-08,"Janakpur, Madhesh",105,315,Essentials,Sugar (1kg)
2025-04-17,"Lalitpur, Bagmati",200,400,Grains & Pulses,Moong Dal (1kg)
2025-11-29,"Chitwan, Bagmati",5,5,Household,Matches (box)
2025-03-01,"Chitwan, Bagmati",50,350,Snacks,Titaura (pack)
2025-04-21,"Dharan, Koshi",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-10-20,"Nepalgunj, Lumbini",100,200,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-04-29,"Pokhara, Gandaki",25,225,Essentials,Salt (1kg)
2025-02-11,"Itahari, Koshi",50,250,Snacks,Biscuits (pack)
2025-08-15,"Bhaktapur, Bagmati",500,1500,Vegetables,Bamboo Shoots (1kg)
2025-01-12,"Bhaktapur, Bagmati",70,490,Personal Care,Mehendi (200g)
2025-06-10,"Pokhara, Gandaki",100,300,Spices,Dry Chilies (100g)
2025-06-24,"Butwal, Lumbini",105,210,Essentials,Sugar (1kg)
2024-05-12,"Bhaktapur, Bagmati",150,150,Grains & Pulses,Masoor Dal (1kg)
2024-05-22,"Pokhara, Gandaki",200,200,Grains & Pulses,Moong Dal (1kg)
2025-01-28,"Dharan, Koshi",40,360,Spices,Turmeric Powder (100g)
2025-11-07,"Chitwan, Bagmati",5,25,Household,Matches (box)
2025-06-17,"Hetauda, Bagmati",80,640,Bakery,Bread (loaf)
2024-04-06,"Kathmandu, Bagmati",100,100,Fruits,Bananas (dozen)
2025-12-04,"Itahari, Koshi",100,300,Snacks,Puffed Rice (1kg)
2025-05-20,"Janakpur, Madhesh",100,200,Condiments,Tomato Ketchup (bottle)
2024-06-16,"Butwal, Lumbini",100,100,Fruits,Bananas (dozen)
2025-11-15,"Bhaktapur, Bagmati",70,630,Personal Care,Mehendi (200g)
2025-04-27,"Nepalgunj, Lumbini",120,120,Flours,"Suji (Semolina, 1kg)"
2024-08-27,"Kathmandu, Bagmati",150,300,Flours,"Besan (Gram Flour, 1kg)"
2024-01-09,"Pokhara, Gandaki",25,100,Essentials,Salt (1kg)
2024-01-23,"Biratnagar, Koshi",500,1500,Vegetables,Bamboo Shoots (1kg)
2024-12-06,"Biratnagar, Koshi",50,50,Spices,Chili Powder (100g)
2024-09-01,"Itahari, Koshi",90,900,Flours,"Wheat Flour (Atta, 1kg)"
2025-06-06,"Bhaktapur, Bagmati",200,600,Grains & Pulses,Moong Dal (1kg)
2024-02-04,"Butwal, Lumbini",100,200,Snacks,Puffed Rice (1kg)
2024-06-04,"Pokhara, Gandaki",240,240,Health Foods,Flax Seeds (1kg)
2024-02-04,"Pokhara, Gandaki",25,200,Essentials,Salt (1kg)
2025-08-13,"Nepalgunj, Lumbini",180,540,Flours,Multi-grain Atta (1kg)
2024-05-16,"Nepalgunj, Lumbini",150,300,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-09-09,"Biratnagar, Koshi",100,300,Fruits,Bananas (dozen)
2024-04-04,"Kathmandu, Bagmati",105,210,Essentials,Sugar (1kg)
2025-02-05,"Chitwan, Bagmati",100,200,Vegetables,Tomatoes (1kg)
2024-11-08,"Nepalgunj, Lumbini",50,150,Snacks,Titaura (pack)
2024-02-12,"Itahari, Koshi",70,490,Personal Care,Mehendi (200g)
2025-02-03,"Hetauda, Bagmati",5,20,Household,Matches (box)
2025-01-16,"Chitwan, Bagmati",120,360,Dairy,Milk (1L)
2025-02-06,"Hetauda, Bagmati",100,200,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-07-04,"Lalitpur, Bagmati",240,240,Dairy,Eggs (dozen)
2024-03-15,"Chitwan, Bagmati",100,200,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-01-15,"Bhaktapur, Bagmati",240,720,Health Foods,Flax Seeds (1kg)
2025-06-25,"Bhaktapur, Bagmati",80,400,Personal Care,Toothpaste (100g)
2024-07-14,"Butwal, Lumbini",100,200,Spices,Dry Chilies (100g)
2024-02-29,"Biratnagar, Koshi",80,560,Vegetables,Potatoes (1kg)
2025-03-21,"Kathmandu, Bagmati",50,250,Snacks,Biscuits (pack)
2024-03-14,"Janakpur, Madhesh",170,340,Essentials,Jaggery (1kg)
2024-11-08,"Nepalgunj, Lumbini",200,200,Household,Washing Powder (1kg)
2024-09-03,"Biratnagar, Koshi",200,400,Household,Washing Powder (1kg)
2025-02-20,"Dharan, Koshi",100,300,Fruits,Bananas (dozen)
2025-08-23,"Itahari, Koshi",40,120,Snacks,Chips/Namkeen (pack)
2025-06-24,"Nepalgunj, Lumbini",1150,3450,Dairy,Ghee (1L)
2024-02-24,"Chitwan, Bagmati",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
2025-01-13,"Nepalgunj, Lumbini",100,300,Fruits,Bananas (dozen)
2025-10-18,"Hetauda, Bagmati",300,600,Beverages,Horlicks (jar)
2024-07-14,"Pokhara, Gandaki",100,300,Condiments,Tomato Ketchup (bottle)
2025-04-13,"Kathmandu, Bagmati",105,210,Essentials,Sugar (1kg)
2024-03-16,"Bhaktapur, Bagmati",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-08-22,"Kathmandu, Bagmati",300,900,Beverages,Horlicks (jar)
2024-06-03,"Lalitpur, Bagmati",200,400,Grains & Pulses,Moong Dal (1kg)
2024-01-09,"Lalitpur, Bagmati",100,100,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-05-14,"Pokhara, Gandaki",80,160,Bakery,Bread (loaf)
2024-10-01,"Butwal, Lumbini",150,300,Snacks,Peanuts (500g)
2024-09-17,"Nepalgunj, Lumbini",150,300,Flours,"Besan (Gram Flour, 1kg)"
2024-11-09,"Pokhara, Gandaki",150,450,Grains & Pulses,Masoor Dal (1kg)
2024-02-06,"Hetauda, Bagmati",30,30,Snacks,"Noodles (Maggi, pack)"
2025-07-14,"Dharan, Koshi",170,510,Essentials,Jaggery (1kg)
2025-10-11,"Dharan, Koshi",100,100,Vegetables,Onions (1kg)
2025-07-21,"Bhaktapur, Bagmati",50,200,Spices,Chili Powder (100g)
2024-11-11,"Dharan, Koshi",100,200,Spices,Dry Chilies (100g)
2024-05-29,"Lalitpur, Bagmati",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-08-17,"Chitwan, Bagmati",550,1650,Beverages,Tea Leaves (1kg)
2024-10-17,"Butwal, Lumbini",50,350,Snacks,Papad (pack)
2025-05-26,"Itahari, Koshi",200,600,Dairy,"Local Cheese (Chhurpi, pack)"
2024-11-10,"Itahari, Koshi",80,240,Vegetables,Potatoes (1kg)
2024-09-30,"Butwal, Lumbini",200,200,Grains & Pulses,Moong Dal (1kg)
2024-06-29,"Hetauda, Bagmati",120,240,Flours,"Suji (Semolina, 1kg)"
2025-09-19,"Pokhara, Gandaki",40,400,Spices,Turmeric Powder (100g)
2024-03-11,"Pokhara, Gandaki",70,210,Personal Care,Mehendi (200g)
2025-11-06,"Bhaktapur, Bagmati",1150,1150,Dairy,Ghee (1L)
2025-01-15,"Hetauda, Bagmati",120,360,Flours,"Suji (Semolina, 1kg)"
2024-05-29,"Bhaktapur, Bagmati",1150,1150,Dairy,Ghee (1L)
2025-07-25,"Janakpur, Madhesh",80,320,Vegetables,Potatoes (1kg)
2024-05-11,"Kathmandu, Bagmati",240,240,Health Foods,Flax Seeds (1kg)
2024-04-07,"Chitwan, Bagmati",50,200,Spices,Coriander Powder (100g)
2024-07-28,"Janakpur, Madhesh",70,210,Personal Care,Mehendi (200g)
2024-06-19,"Bhaktapur, Bagmati",150,300,Flours,"Besan (Gram Flour, 1kg)"
2024-06-29,"Lalitpur, Bagmati",100,300,Vegetables,Tomatoes (1kg)
2024-04-06,"Bhaktapur, Bagmati",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-01-21,"Kathmandu, Bagmati",70,560,Personal Care,Mehendi (200g)
2024-02-28,"Nepalgunj, Lumbini",150,450,Grains & Pulses,Masoor Dal (1kg)
2024-09-24,"Itahari, Koshi",130,130,Grains & Pulses,"Rice (white, 1kg)"
2024-05-30,"Bhaktapur, Bagmati",50,450,Snacks,Papad (pack)
2025-05-22,"Nepalgunj, Lumbini",5,10,Household,Matches (box)
2025-05-23,"Kathmandu, Bagmati",240,720,Dairy,Eggs (dozen)
2025-06-08,"Pokhara, Gandaki",90,450,Flours,"Wheat Flour (Atta, 1kg)"
2025-11-07,"Biratnagar, Koshi",80,80,Bakery,Bread (loaf)
2024-04-20,"Biratnagar, Koshi",180,360,Flours,Multi-grain Atta (1kg)
2024-01-01,"Itahari, Koshi",5,30,Household,Matches (box)
2025-08-11,"Janakpur, Madhesh",180,180,Flours,Multi-grain Atta (1kg)
2024-06-17,"Hetauda, Bagmati",40,240,Spices,Turmeric Powder (100g)
2025-01-30,"Biratnagar, Koshi",105,315,Essentials,Sugar (1kg)
2025-04-06,"Bhaktapur, Bagmati",2000,6000,Household,Cooking Gas (small cylinder)
2024-02-03,"Hetauda, Bagmati",100,300,Vegetables,Onions (1kg)
2024-04-24,"Dharan, Koshi",300,600,Beverages,Horlicks (jar)
2025-04-28,"Dharan, Koshi",100,200,Fruits,Bananas (dozen)
2024-06-05,"Itahari, Koshi",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-10-30,"Biratnagar, Koshi",100,300,Vegetables,Onions (1kg)
2025-04-10,"Kathmandu, Bagmati",300,300,Beverages,Horlicks (jar)
2024-06-21,"Butwal, Lumbini",120,240,Flours,"Suji (Semolina, 1kg)"
2024-03-25,"Dharan, Koshi",80,320,Bakery,Bread (loaf)
2024-10-15,"Kathmandu, Bagmati",100,200,Spices,Dry Chilies (100g)
2025-05-23,"Pokhara, Gandaki",40,160,Snacks,Chips/Namkeen (pack)
2024-12-17,"Biratnagar, Koshi",240,480,Health Foods,Flax Seeds (1kg)
2025-09-11,"Janakpur, Madhesh",180,540,Grains & Pulses,Arhar Dal (1kg)
2024-03-01,"Hetauda, Bagmati",200,400,Household,Washing Powder (1kg)
2024-01-11,"Biratnagar, Koshi",150,150,Condiments,Ginger Garlic Paste (jar)
2024-05-25,"Nepalgunj, Lumbini",300,600,Beverages,Horlicks (jar)
2025-05-05,"Pokhara, Gandaki",550,550,Beverages,Tea Leaves (1kg)
2025-01-12,"Chitwan, Bagmati",50,350,Spices,Coriander Powder (100g)
2024-03-13,"Bhaktapur, Bagmati",150,450,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-09-09,"Itahari, Koshi",100,100,Vegetables,Onions (1kg)
2025-02-17,"Bhaktapur, Bagmati",100,200,Spices,Dry Chilies (100g)
2025-11-07,"Janakpur, Madhesh",100,300,Condiments,Tomato Ketchup (bottle)
2025-03-29,"Nepalgunj, Lumbini",100,300,Snacks,Puffed Rice (1kg)
2024-02-19,"Biratnagar, Koshi",180,180,Flours,Multi-grain Atta (1kg)
2025-05-19,"Janakpur, Madhesh",1150,2300,Dairy,Ghee (1L)
2025-06-19,"Pokhara, Gandaki",170,340,Essentials,Jaggery (1kg)
2025-11-08,"Pokhara, Gandaki",40,240,Spices,Turmeric Powder (100g)
2025-10-17,"Kathmandu, Bagmati",240,720,Health Foods,Flax Seeds (1kg)
2024-05-24,"Lalitpur, Bagmati",80,160,Bakery,Bread (loaf)
2024-12-20,"Nepalgunj, Lumbini",120,360,Flours,"Suji (Semolina, 1kg)"
2025-11-17,"Nepalgunj, Lumbini",70,630,Personal Care,Mehendi (200g)
2024-03-04,"Itahari, Koshi",500,1500,Vegetables,Bamboo Shoots (1kg)
2025-07-03,"Janakpur, Madhesh",100,200,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-08-18,"Nepalgunj, Lumbini",30,300,Household,Candles (pack)
2025-09-29,"Lalitpur, Bagmati",150,150,Condiments,Ginger Garlic Paste (jar)
2024-02-26,"Janakpur, Madhesh",100,300,Condiments,Tomato Ketchup (bottle)
2025-07-06,"Dharan, Koshi",240,480,Dairy,Eggs (dozen)
2025-06-10,"Lalitpur, Bagmati",150,150,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2024-06-12,"Chitwan, Bagmati",30,120,Household,Candles (pack)
2024-02-20,"Dharan, Koshi",2000,2000,Household,Cooking Gas (small cylinder)
2024-09-10,"Nepalgunj, Lumbini",25,225,Essentials,Salt (1kg)
2025-09-20,"Kathmandu, Bagmati",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-01-20,"Nepalgunj, Lumbini",120,240,Dairy,Milk (1L)
2025-03-09,"Itahari, Koshi",5,25,Household,Matches (box)
2025-03-12,"Butwal, Lumbini",200,200,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-03-28,"Kathmandu, Bagmati",1150,1150,Dairy,Ghee (1L)
2024-10-20,"Hetauda, Bagmati",50,150,Spices,Chili Powder (100g)
2024-08-01,"Butwal, Lumbini",80,800,Vegetables,Potatoes (1kg)
2025-01-12,"Janakpur, Madhesh",30,210,Snacks,"Noodles (Maggi, pack)"
2024-02-15,"Nepalgunj, Lumbini",150,150,Grains & Pulses,Masoor Dal (1kg)
2024-06-06,"Biratnagar, Koshi",105,105,Essentials,Sugar (1kg)
2024-09-02,"Dharan, Koshi",200,200,Dairy,"Local Cheese (Chhurpi, pack)"
2024-01-22,"Dharan, Koshi",40,360,Snacks,Chips/Namkeen (pack)
2024-03-09,"Pokhara, Gandaki",170,170,Essentials,Jaggery (1kg)
2024-05-28,"Nepalgunj, Lumbini",150,450,Snacks,Peanuts (500g)
2024-11-28,"Hetauda, Bagmati",150,450,Grains & Pulses,Masoor Dal (1kg)
2024-10-31,"Nepalgunj, Lumbini",25,50,Essentials,Salt (1kg)
2025-06-16,"Kathmandu, Bagmati",80,560,Bakery,Bread (loaf)
2024-04-18,"Butwal, Lumbini",80,320,Personal Care,Toothpaste (100g)
2024-01-22,"Hetauda, Bagmati",240,240,Health Foods,Flax Seeds (1kg)
2024-10-22,"Biratnagar, Koshi",150,150,Snacks,Peanuts (500g)
2024-10-03,"Bhaktapur, Bagmati",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-08-05,"Kathmandu, Bagmati",40,80,Snacks,Chips/Namkeen (pack)
2024-07-18,"Kathmandu, Bagmati",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-04-18,"Hetauda, Bagmati",240,240,Dairy,Eggs (dozen)
2024-03-21,"Dharan, Koshi",200,400,Household,Washing Powder (1kg)
2024-07-25,"Biratnagar, Koshi",40,160,Spices,Turmeric Powder (100g)
2024-11-07,"Dharan, Koshi",120,240,Flours,"Suji (Semolina, 1kg)"
2025-08-26,"Nepalgunj, Lumbini",2000,4000,Household,Cooking Gas (small cylinder)
2024-06-25,"Bhaktapur, Bagmati",100,300,Vegetables,Tomatoes (1kg)
2025-08-16,"Butwal, Lumbini",170,340,Essentials,Jaggery (1kg)
2025-10-04,"Janakpur, Madhesh",120,120,Flours,"Suji (Semolina, 1kg)"
2025-11-12,"Janakpur, Madhesh",100,200,Vegetables,Onions (1kg)
2024-11-28,"Lalitpur, Bagmati",150,450,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2024-01-24,"Dharan, Koshi",50,350,Snacks,Papad (pack)
2025-03-26,"Itahari, Koshi",550,1100,Beverages,Tea Leaves (1kg)
2024-08-04,"Hetauda, Bagmati",80,560,Vegetables,Potatoes (1kg)
2024-02-27,"Itahari, Koshi",100,300,Spices,Dry Chilies (100g)
2024-06-27,"Janakpur, Madhesh",200,200,Grains & Pulses,Moong Dal (1kg)
2025-03-06,"Hetauda, Bagmati",80,80,Personal Care,Toothpaste (100g)
2025-07-19,"Hetauda, Bagmati",150,450,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-06-21,"Butwal, Lumbini",120,360,Dairy,Milk (1L)
2024-10-31,"Itahari, Koshi",50,350,Snacks,Biscuits (pack)
2025-02-19,"Butwal, Lumbini",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
